title,artist,year,playcount
Powderfinger,Neil Young,1978,2
The Word,The Beatles,1965,1
Night Prowler,AC/DC,1979,1
Tiny Dancer,Elton John,1971,51
Gimme Shelter,Rolling Stones,1969,96
Just A Gigolo / I Ain't Got Nobody,David Lee Roth,1985,8
I'm Bad I'm Nationwide,ZZ Top,1979,10
Presence of the Lord,Blind Faith,1969,1
Love Song,Tesla,1989,4
Beast Of Burden,Rolling Stones,1978,86
Day Tripper,Paul McCartney & Wings,2009,1
Cum On Feel the Noize,Quiet Riot,1973,29
New World Man,Rush,1982,7
Jungle Love,Steve Miller Band,1977,43
The Changeling,The Doors,1971,1
Shine On You Crazy Diamond,Pink Floyd,1975,2
Love Bites,Def Leppard,1987,25
Penny Lane,The Beatles,1967,3
Man On The Corner,Genesis,1981,12
Find Your Way Back,Jefferson Starship,1981,20
Talk To Ya Later,The Tubes,1981,2
No No Song,Ringo Starr,1974,3
Those Shoes,Eagles,1979,14
Shanty,Jonathan Edwards,1971,2
Cuts Like a Knife,Bryan Adams,1983,17
Fire On High,Electric Light Orchestra,1975,18
Can't You Hear Me Knocking,Rolling Stones,1971,5
Pearl Necklace,ZZ Top,1981,5
Night Flight,Led Zeppelin,1975,1
Southern Cross,Crosby Stills & Nash,1982,9
Don't Stop Believin',Journey,1981,105
Her Strut,Bob Seger,1980,29
Ticket to Ride,The Beatles,1965,4
Let the Music Do the Talking,Aerosmith,1985,1
All That You Dream,Little Feat,1975,1
Penny On The Floor,Clarks,1991,1
Hypnotized,Bob Welch,1973,2
Frankenstein,Edgar Winter Group,1972,58
A Man I'll Never Be,Boston,1978,1
Paradise By The Dashboard Light,Meat Loaf,1977,10
Down To The Waterline,Dire Straits,1978,12
The Passenger,Iggy Pop,1977,1
You Oughta Know,Alanis Morissette,1995,6
Wait For You,Bonham,1989,1
Miss You,Rolling Stones,1978,89
Are You Gonna Be My Girl,Jet,2003,1
Cry Sister,Royal Bliss,2014,6
Let's Dance,David Bowie,1983,20
Little By Little,Robert Plant,1985,8
Silly Love Songs,Paul McCartney & Wings,1976,3
Reprise / Day in the Life,The Beatles,1967,12
Spirit In The Night,Bruce Springsteen,1973,5
Dogs,Pink Floyd,1977,1
The Song Remains the Same,Led Zeppelin,1973,2
Little Bit of Sympathy,Robin Trower,1974,1
Rocket,Def Leppard,1987,15
Don't Go Away Mad (Just Go Away),Motley Crue,1989,4
Love Is Like A Rock,Donnie Iris,1981,1
Eight Miles High,The Byrds,1966,2
Monkey Bars,Coney Hatch,1982,1
The Chain,Fleetwood Mac,1977,65
No Reply At All,Genesis,1981,18
From the Beginning,Emerson Lake & Palmer,1972,1
Fool For The City,Foghat,1975,26
Ventura Highway,America,1972,1
Driven to Tears,The Police,1980,4
Mrs. Robinson,Simon & Garfunkel,1968,13
That Smell,Lynyrd Skynyrd,1977,24
Don't Tell Me You Love Me,Night Ranger,1982,2
Juke Box Hero,Foreigner,1981,75
Come Together,Aerosmith,1978,65
Over the Mountain,Ozzy Osbourne,1981,16
In Your Eyes,Peter Gabriel,1986,28
All My Love,Led Zeppelin,1979,83
AND WE DANCED,Hooters,1985,4
When You Close Your Eyes,Night Ranger,1983,1
Surrender,Cheap Trick,1978,57
Sex On Fire,Kings of Leon,2008,1
YOU GOTTA MOVE,Rolling Stones,1971,1
It Don't Come Easy,Ringo Starr,1971,5
Touch Me,The Doors,1969,45
Hotel Illness,The Black Crowes,1992,1
Road To Nowhere,Ozzy Osbourne,1991,1
Rock of Ages,Def Leppard,1983,65
Heartbreaker,Pat Benatar,1979,80
3 Strange Days,School Of Fish,1991,1
Kickstart My Heart,Motley Crue,1989,25
I Am the Walrus,The Beatles,1967,5
With a Little Luck,Paul McCartney & Wings,1978,2
